cID_DI,sense,BP,RI,DVG_type,read_counts_virema,read_counts_ditector,pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,length_dvg,p(real)
--_10007_9905,--,10007,9905,Insertion_reverse,1,1,0.00013776002204160352,0.00013873473917869035,0.000125203455615375,0.00012569130216189038,0.004761108523184123,0.007484047378809699,15487,0.6732047327096958
--_10032_10034,--,10032,10034,Deletion_reverse,1,0,0.0001371553970648745,0.0001391207568169171,0.0,0.00012671059300557527,0.004761108523184123,0.0,15383,0.7033274019704226
--_1003_1005,--,1003,1005,Deletion_reverse,1,0,0.00012735608762098828,0.00012691965985531158,0.0,0.00012537612838515547,0.004761108523184123,0.0,15383,0.673784631486588
--_10049_10051,--,10049,10051,Deletion_reverse,1,0,0.00013785497656465398,0.00014421690222094028,0.0,0.0001312163758037003,0.004761108523184123,0.0,15383,0.6732623545440347
--_10059_10061,--,10059,10061,Deletion_reverse,1,0,0.0001380071763731714,0.00013829345871940258,0.0,0.00012759984688018373,0.004761108523184123,0.0,15383,0.680536049803708
--_10063_10065,--,10063,10065,Deletion_reverse,2,0,0.00028078056998455706,0.00029116319697190275,0.0,0.0002638870563398865,0.009522217046368246,0.0,15383,0.7034094546142884
--_10063_9917,--,10063,9917,Insertion_reverse,1,1,0.00014039028499227853,0.0001429592566118656,0.00012679092177000128,0.00012653422750854106,0.004761108523184123,0.007484047378809699,15531,0.6376628671576255
--_10075_10077,--,10075,10077,Deletion_reverse,1,0,0.0001401541695865452,0.00013850415512465375,0.0,0.00012621481761958855,0.004761108523184123,0.0,15383,0.610123251293026
--_10077_10080,--,10077,10080,Deletion_reverse,3,0,0.0004155124653739612,0.0004143074161027482,0.0,0.0003811944091486658,0.014283325569552368,0.0,15382,0.6464142042322173
--_10081_10083,--,10081,10083,Deletion_reverse,1,0,0.000138811771238201,0.0001396843134515994,0.0,0.00013104442405975625,0.004761108523184123,0.0,15383,0.6276045909616467
--_10084_10086,--,10084,10086,Deletion_reverse,1,0,0.00013958682300390843,0.00013875398917718884,0.0,0.00012627857052658164,0.004761108523184123,0.0,15383,0.5888704277766927
--_10100_10107,--,10100,10107,Deletion_reverse,1,0,0.00013865779256794233,0.00014351320321469576,0.0,0.00012944983818770226,0.004761108523184123,0.0,15378,0.7331165751677091
