cID_DI,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
--_10007_9905,10007,9905,--,Insertion_reverse,15487,1,0.00013776002204160352,0.00013873473917869035,0.004761108523184123,1,0.000125203455615375,0.00012569130216189038,0.007484047378809699
--_10032_10034,10032,10034,--,Deletion_reverse,15383,1,0.0001371553970648745,0.0001391207568169171,0.004761108523184123,0,0.0,0.00012671059300557527,0.0
--_1003_1005,1003,1005,--,Deletion_reverse,15383,1,0.00012735608762098828,0.00012691965985531158,0.004761108523184123,0,0.0,0.00012537612838515547,0.0
--_10049_10051,10049,10051,--,Deletion_reverse,15383,1,0.00013785497656465398,0.00014421690222094028,0.004761108523184123,0,0.0,0.0001312163758037003,0.0
--_10059_10061,10059,10061,--,Deletion_reverse,15383,1,0.0001380071763731714,0.00013829345871940258,0.004761108523184123,0,0.0,0.00012759984688018373,0.0
--_10063_10065,10063,10065,--,Deletion_reverse,15383,2,0.00028078056998455706,0.00029116319697190275,0.009522217046368246,0,0.0,0.0002638870563398865,0.0
--_10063_9917,10063,9917,--,Insertion_reverse,15531,1,0.00014039028499227853,0.0001429592566118656,0.004761108523184123,1,0.00012679092177000128,0.00012653422750854106,0.007484047378809699
--_10075_10077,10075,10077,--,Deletion_reverse,15383,1,0.0001401541695865452,0.00013850415512465375,0.004761108523184123,0,0.0,0.00012621481761958855,0.0
--_10077_10080,10077,10080,--,Deletion_reverse,15382,3,0.0004155124653739612,0.0004143074161027482,0.014283325569552368,0,0.0,0.0003811944091486658,0.0
--_10081_10083,10081,10083,--,Deletion_reverse,15383,1,0.000138811771238201,0.0001396843134515994,0.004761108523184123,0,0.0,0.00013104442405975625,0.0
--_10084_10086,10084,10086,--,Deletion_reverse,15383,1,0.00013958682300390843,0.00013875398917718884,0.004761108523184123,0,0.0,0.00012627857052658164,0.0
--_10100_10107,10100,10107,--,Deletion_reverse,15378,1,0.00013865779256794233,0.00014351320321469576,0.004761108523184123,0,0.0,0.00012944983818770226,0.0
--_10103_14721,10103,14721,--,Deletion_reverse,10767,0,0.0,0.0,0.0,2,0.0002583311805734952,0.0,0.014968094757619397
--_10107_14719,10107,14719,--,Deletion_reverse,10773,0,0.0,0.0,0.0,1,0.00012944983818770226,0.0,0.007484047378809699
--_10109_10111,10109,10111,--,Deletion_reverse,15383,2,0.00027624309392265195,0.0002797985450475658,0.009522217046368246,0,0.0,0.0002547446185199338,0.0
--_10114_13124,10114,13124,--,Deletion_reverse,12375,0,0.0,0.0,0.0,2,0.00025021894157387716,0.0,0.014968094757619397
--_10115_12510,10115,12510,--,Deletion_reverse,12990,0,0.0,0.0,0.0,1,0.00012532898859506203,0.0,0.007484047378809699
--_10122_10125,10122,10125,--,Deletion_reverse,15382,1,0.00015304560759106213,0.00013723068478111705,0.004761108523184123,0,0.0,0.0001273074474856779,0.0
--_10152_15103,10152,15103,--,Deletion_reverse,10434,0,0.0,0.0,0.0,1,0.00012941633234114146,0.0,0.007484047378809699
--_1015_962,1015,962,--,Insertion_reverse,15438,0,0.0,0.0,0.0,3,0.00039349422875131166,0.0,0.022452142136429095
--_10184_11368,10184,11368,--,Deletion_reverse,14201,0,0.0,0.0,0.0,1,0.00012955045990413266,0.0,0.007484047378809699
