cID_DI,sense,BP,RI,DVG_type,read_counts_virema,read_counts_ditector,pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,length_dvg,p(real)
--_10001_10001,--,10001,10001,Insertion_reverse,1,0,0.00012642225031605562,0.00012642225031605562,0.0,0.00012501562695336918,0.00420180602026363,0.0,15385,0.6041862332822705
--_10003_10212,--,10003,10212,Deletion_reverse,1,0,0.000125250501002004,0.00013010668748373666,0.0,0.00012561236025624922,0.00420180602026363,0.0,15176,0.5201884302663544
--_10008_10010,--,10008,10010,Deletion_reverse,1,0,0.00012711325791280032,0.00012901561088891756,0.0,0.00012769761205465457,0.00420180602026363,0.0,15383,0.6853433194105601
--_10008_9874,--,10008,9874,Insertion_reverse,1,1,0.00012711325791280032,0.00012512512512512512,0.0001256281407035176,0.00012501562695336918,0.00420180602026363,0.0064862061421388515,15519,0.5095366495204593
--_1001_1090,--,1001,1090,Deletion_reverse,1,2,0.00012596044841919638,0.00013094146916328402,0.00026232948583420777,0.00012679092177000128,0.00420180602026363,0.012972412284277703,15296,0.5224801460127517
--_10026_10029,--,10026,10029,Deletion_reverse,3,0,0.00039308176100628933,0.0003755633450175263,0.0,0.0003759869657851861,0.01260541806079089,0.0,15382,0.7024576413910746
--_10027_10029,--,10027,10029,Deletion_reverse,9,0,0.0012263251124131353,0.001126690035052579,0.0,0.0011279608973555583,0.037816254182372666,0.0,15383,0.6622054569009298
--_1002_573,--,1002,573,Insertion_reverse,1,1,0.00012605571662674902,0.0001252661906551422,0.00012784454103809768,0.0001252975817566721,0.00420180602026363,0.0064862061421388515,15814,0.5942906920673493
--_10032_10034,--,10032,10034,Deletion_reverse,1,0,0.00012517211165352359,0.00012873326467559217,0.0,0.00012655024044545685,0.00420180602026363,0.0,15383,0.6927687310805805
--_10033_10057,--,10033,10057,Deletion_reverse,1,1,0.00012578616352201257,0.00012906556530717606,0.0001250625312656328,0.00012746972594008922,0.00420180602026363,0.0064862061421388515,15361,0.6234688262658278
--_10036_10038,--,10036,10038,Deletion_reverse,1,0,0.000125250501002004,0.00013227513227513228,0.0,0.00012833675564681725,0.00420180602026363,0.0,15383,0.6693003162283687
--_1003_898,--,1003,898,Insertion_reverse,2,4,0.00025303643724696357,0.0002505323813102844,0.0005032079506856208,0.0002501563477173233,0.00840361204052726,0.025944824568555406,15490,0.5623402335272452
