cID_DI,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
--_10004_84,10004,84,--,Insertion_reverse,25305,0,0.0,0.0,0.0,1,0.00012504689258471927,0.0,0.005324777055578265
--_1001_14808,1001,14808,--,Deletion_reverse,1578,1,0.00012804097311139564,0.000128783000643915,0.003363691320236734,1,0.0001264702162640698,0.00012572290671360322,0.005324777055578265
--_10025_10028,10025,10028,--,Deletion_reverse,15382,1,0.00014547570555717196,0.0001374003847210772,0.003363691320236734,0,0.0,0.00012509382036527395,0.0
--_10026_14027,10026,14027,--,Deletion_reverse,11384,0,0.0,0.0,0.0,3,0.0003758927452700163,0.0,0.015974331166734797
--_10027_10029,10027,10029,--,Deletion_reverse,15383,1,0.0001556420233463035,0.00013738150844896276,0.003363691320236734,0,0.0,0.00012616704516780217,0.0
--_10033_10035,10033,10035,--,Deletion_reverse,15383,1,0.00013762730525736306,0.00013974287311347122,0.003363691320236734,0,0.0,0.00012802458071949814,0.0
--_10044_478,10044,478,--,Insertion_reverse,24951,0,0.0,0.0,0.0,1,0.00012523481527864746,0.0,0.005324777055578265
--_10047_10050,10047,10050,--,Deletion_reverse,15382,2,0.0002754820936639118,0.0002788622420524261,0.006727382640473468,0,0.0,0.0002535175560907593,0.0
--_1004_13742,1004,13742,--,Deletion_reverse,2647,3,0.0003816308357715303,0.0004089422028353326,0.010091073960710201,3,0.0003752814610958219,0.00038600102933607824,0.015974331166734797
--_10055_10058,10055,10058,--,Deletion_reverse,15382,3,0.0004155124653739612,0.0004130524576621231,0.010091073960710201,0,0.0,0.0003779289493575208,0.0
--_10057_15102,10057,15102,--,Deletion_reverse,10340,0,0.0,0.0,0.0,1,0.00012588116817724068,0.0,0.005324777055578265
--_10059_10061,10059,10061,--,Deletion_reverse,15383,1,0.0001379690949227373,0.0001383891502906172,0.003363691320236734,0,0.0,0.00013145786775338504,0.0
--_10060_10062,10060,10062,--,Deletion_reverse,15383,1,0.0001375137513751375,0.0001376083665886886,0.003363691320236734,0,0.0,0.00012501562695336918,0.0
--_10074_10077,10074,10077,--,Deletion_reverse,15382,3,0.0004214667041303737,0.00041288191577208916,0.010091073960710201,0,0.0,0.0003753284123608157,0.0
--_10075_10077,10075,10077,--,Deletion_reverse,15383,1,0.000140548137737175,0.00013762730525736306,0.003363691320236734,0,0.0,0.00012510947078693858,0.0
--_10077_10079,10077,10079,--,Deletion_reverse,15383,4,0.0005505092210294523,0.0005509641873278236,0.013454765280946936,0,0.0,0.0005018820577164366,0.0
--_10077_10080,10077,10080,--,Deletion_reverse,15382,5,0.0006881365262868153,0.0006907985631389886,0.016818456601183668,0,0.0,0.0006300403225806451,0.0
--_10084_10086,10084,10086,--,Deletion_reverse,15383,1,0.00013883104262113008,0.0001392757660167131,0.003363691320236734,0,0.0,0.00012564392511622062,0.0
--_10084_10087,10084,10087,--,Deletion_reverse,15382,1,0.00013883104262113008,0.0001385809312638581,0.003363691320236734,0,0.0,0.00012553351744915893,0.0
--_10106_10108,10106,10108,--,Deletion_reverse,15383,1,0.0001415227851684121,0.00013846579894765993,0.003363691320236734,0,0.0,0.00012596044841919638,0.0
--_10109_10111,10109,10111,--,Deletion_reverse,15383,5,0.0006878525244187646,0.000698616738857063,0.016818456601183668,0,0.0,0.00063500127000254,0.0
--_1010_12986,1010,12986,--,Deletion_reverse,3409,0,0.0,0.0,0.0,1,0.00012528188423953897,0.0,0.005324777055578265
--_10111_10113,10111,10113,--,Deletion_reverse,15383,2,0.0002794466955428252,0.00027616680475006904,0.006727382640473468,0,0.0,0.00025072082236429733,0.0
--_10114_13124,10114,13124,--,Deletion_reverse,12375,0,0.0,0.0,0.0,1,0.00012509382036527395,0.0,0.005324777055578265
--_10115_12510,10115,12510,--,Deletion_reverse,12990,2,0.00027559597629874606,0.0002737101409607226,0.006727382640473468,2,0.0002506265664160401,0.0002527486414760521,0.01064955411115653
--_10116_9987,10116,9987,--,Insertion_reverse,15514,0,0.0,0.0,0.0,1,0.000125250501002004,0.0,0.005324777055578265
--_10127_3911,10127,3911,--,Insertion_reverse,21601,0,0.0,0.0,0.0,1,0.00012615112905260502,0.0,0.005324777055578265
--_1014_1016,1014,1016,--,Deletion_reverse,15383,2,0.00025409731927328164,0.00026062027625749283,0.006727382640473468,0,0.0,0.0002585315408479835,0.0
--_10181_13218,10181,13218,--,Deletion_reverse,12348,0,0.0,0.0,0.0,1,0.00012708095056551024,0.0,0.005324777055578265
--_10182_13219,10182,13219,--,Deletion_reverse,12348,1,0.0001383700013837,0.00013557483731019523,0.003363691320236734,0,0.0,0.000125203455615375,0.0
--_101_1,101,1,--,Insertion_reverse,15485,0,0.0,0.0,0.0,1,0.00012539184952978057,0.0,0.005324777055578265
--_10207_10046,10207,10046,--,Insertion_reverse,15546,0,0.0,0.0,0.0,1,0.00012572290671360322,0.0,0.005324777055578265
--_1020_1477,1020,1477,--,Deletion_reverse,14928,0,0.0,0.0,0.0,1,0.00013036110024768608,0.0,0.005324777055578265
--_10213_10046,10213,10046,--,Insertion_reverse,15552,0,0.0,0.0,0.0,1,0.00012503125781445363,0.0,0.005324777055578265
--_10213_2270,10213,2270,--,Insertion_reverse,23328,0,0.0,0.0,0.0,1,0.00012503125781445363,0.0,0.005324777055578265
--_10215_10048,10215,10048,--,Insertion_reverse,15552,0,0.0,0.0,0.0,1,0.00012575452716297788,0.0,0.005324777055578265
--_1022_12045,1022,12045,--,Deletion_reverse,4362,0,0.0,0.0,0.0,1,0.00012531328320802005,0.0,0.005324777055578265
--_1022_13545,1022,13545,--,Deletion_reverse,2862,0,0.0,0.0,0.0,2,0.0002506265664160401,0.0,0.01064955411115653
--_10260_10264,10260,10264,--,Deletion_reverse,15381,1,0.00017397355601948505,0.0001374192661811186,0.003363691320236734,0,0.0,0.00012653422750854106,0.0
--_10269_10271,10269,10271,--,Deletion_reverse,15383,1,0.0001378169790518192,0.0001374570446735395,0.003363691320236734,0,0.0,0.0001332267519317879,0.0
--_10281_13633,10281,13633,--,Deletion_reverse,12033,0,0.0,0.0,0.0,1,0.0001257071024512885,0.0,0.005324777055578265
--_10293_3646,10293,3646,--,Insertion_reverse,22032,0,0.0,0.0,0.0,3,0.000375,0.0,0.015974331166734797
--_10319_10489,10319,10489,--,Deletion_reverse,15215,0,0.0,0.0,0.0,1,0.00012948336138806163,0.0,0.005324777055578265
--_1031_14610,1031,14610,--,Deletion_reverse,1806,0,0.0,0.0,0.0,1,0.00012635835228708617,0.0,0.005324777055578265
--_10322_10324,10322,10324,--,Deletion_reverse,15383,1,0.00013762730525736306,0.00013762730525736306,0.003363691320236734,0,0.0,0.0001261193088661874,0.0
--_10324_10493,10324,10493,--,Deletion_reverse,15216,0,0.0,0.0,0.0,1,0.0001261193088661874,0.0,0.005324777055578265
--_10324_10494,10324,10494,--,Deletion_reverse,15215,1,0.00013762730525736306,0.00013736263736263736,0.003363691320236734,0,0.0,0.00012658227848101267,0.0
--_1032_12445,1032,12445,--,Deletion_reverse,3972,1,0.00012746972594008922,0.00014367816091954023,0.003363691320236734,1,0.00012818869375721061,0.00012698412698412698,0.005324777055578265
--_1035_12040,1035,12040,--,Deletion_reverse,4380,0,0.0,0.0,0.0,2,0.000257201646090535,0.0,0.01064955411115653
--_1035_14350,1035,14350,--,Deletion_reverse,2070,0,0.0,0.0,0.0,2,0.000257201646090535,0.0,0.01064955411115653
--_1037_13470,1037,13470,--,Deletion_reverse,2952,1,0.00012906556530717606,0.00013473457289140393,0.003363691320236734,1,0.00013012361743656474,0.00012642225031605562,0.005324777055578265
--_1037_14226,1037,14226,--,Deletion_reverse,2196,0,0.0,0.0,0.0,1,0.00013012361743656474,0.0,0.005324777055578265
--_1037_14352,1037,14352,--,Deletion_reverse,2070,0,0.0,0.0,0.0,42,0.005465191932335719,0.0,0.22364063633428716
--_1037_14939,1037,14939,--,Deletion_reverse,1483,0,0.0,0.0,0.0,1,0.00013012361743656474,0.0,0.005324777055578265
--_10388_13221,10388,13221,--,Deletion_reverse,12552,0,0.0,0.0,0.0,1,0.00012559658377292137,0.0,0.005324777055578265
--_1038_14383,1038,14383,--,Deletion_reverse,2040,0,0.0,0.0,0.0,1,0.00013601741022850925,0.0,0.005324777055578265
--_1038_14940,1038,14940,--,Deletion_reverse,1483,4,0.0005297311614355715,0.0005103342689461597,0.013454765280946936,10,0.0013601741022850925,0.0005053057099545225,0.053247770555782656
--_10393_4076,10393,4076,--,Insertion_reverse,21702,0,0.0,0.0,0.0,1,0.00012677484787018255,0.0,0.005324777055578265
--_1041_1043,1041,1043,--,Deletion_reverse,15383,1,0.0001299545159194282,0.00013575889220743959,0.003363691320236734,0,0.0,0.0001311131506490101,0.0
--_1041_1051,1041,1051,--,Deletion_reverse,15375,2,0.0002599090318388564,0.000254323499491353,0.006727382640473468,0,0.0,0.0002502815667626079,0.0
--_1041_14356,1041,14356,--,Deletion_reverse,2070,0,0.0,0.0,0.0,4,0.0005111821086261981,0.0,0.02129910822231306
--_10428_10404,10428,10404,--,Insertion_reverse,15409,0,0.0,0.0,0.0,1,0.00012656625743576763,0.0,0.005324777055578265
--_1042_1338,1042,1338,--,Deletion_reverse,15089,0,0.0,0.0,0.0,1,0.00012629451881788332,0.0,0.005324777055578265
--_10451_14340,10451,14340,--,Deletion_reverse,11496,0,0.0,0.0,0.0,3,0.0003963011889035667,0.0,0.015974331166734797
--_10469_10274,10469,10274,--,Insertion_reverse,15580,0,0.0,0.0,0.0,2,0.0002535175560907593,0.0,0.01064955411115653
--_10473_10278,10473,10278,--,Insertion_reverse,15580,1,0.00014025245441795232,0.00013732491073880802,0.003363691320236734,0,0.0,0.0001261193088661874,0.0
--_1047_551,1047,551,--,Insertion_reverse,15881,0,0.0,0.0,0.0,1,0.00012664640324214793,0.0,0.005324777055578265
--_10487_13799,10487,13799,--,Deletion_reverse,12073,0,0.0,0.0,0.0,1,0.00012569130216189038,0.0,0.005324777055578265
--_10488_10490,10488,10490,--,Deletion_reverse,15383,1,0.00013743815283122595,0.0001374570446735395,0.003363691320236734,0,0.0,0.00012532898859506203,0.0
--_1048_13028,1048,13028,--,Deletion_reverse,3405,0,0.0,0.0,0.0,2,0.00025144581342720644,0.0,0.01064955411115653
--_10499_14974,10499,14974,--,Deletion_reverse,10910,0,0.0,0.0,0.0,2,0.00025265285497726126,0.0,0.01064955411115653
--_1049_1051,1049,1051,--,Deletion_reverse,15383,3,0.0003863987635239567,0.0003814852492370295,0.010091073960710201,0,0.0,0.0003754223501439119,0.0
